Date,New_Installs ,Returning_Users ,Uninstalls ,Net_new_installs ,Uninstall_rate,DAU ,Unique_Page_Views,Page_view_conversion,Add_to_Cart,A2C_Conv,Add_to_Cart_Prod_page,Order_Comp,Overall_Conv
19-11-2021,19233,1467,4155,7602,21.60%,27745,6897,24.86%,1614,5.82%,23.40%,436,1.57%
20-11-2021,20028,1541,6461,10641,32.26%,25517,7724,30.27%,1784,6.99%,23.10%,605,2.37%
21-11-2021,14317,1205,6029,7370,42.11%,26042,6863,26.35%,1357,5.21%,19.77%,588,2.26%
22-11-2021,17385,1560,5449,9833,31.34%,31216,7466,23.92%,1511,4.84%,20.24%,447,1.43%
23-11-2021,15718,1369,5336,10601,33.95%,26975,8993,33.34%,1544,5.72%,17.17%,642,2.38%
24-11-2021,14808,1517,3359,9426,22.68%,26256,7920,30.16%,1357,5.17%,17.13%,635,2.42%
25-11-2021,16755,1506,4088,6650,24.40%,25877,7205,27.84%,1130,4.37%,15.68%,433,1.67%
26-11-2021,11592,1129,2330,8593,20.10%,26358,7070,26.82%,1211,4.59%,17.13%,609,2.31%
27-11-2021,18960,1416,7091,8192,37.40%,27865,8425,30.24%,1898,6.81%,22.53%,559,2.01%
28-11-2021,18578,1539,5368,11043,28.89%,31282,8260,26.40%,1723,5.51%,20.86%,474,1.52%
29-11-2021,15107,1488,4123,7679,27.29%,28233,4607,16.32%,1309,4.64%,28.41%,332,1.18%
30-11-2021,4709,865,3112,5020,66.09%,16960,3459,20.40%,1237,7.29%,35.76%,171,1.01%
01-12-2021,8677,797,2278,7324,26.25%,24012,5671,23.62%,1733,7.22%,30.56%,337,1.40%
02-12-2021,14361,1390,5563,7093,38.74%,26767,8063,30.12%,1987,7.42%,24.64%,405,1.51%
03-12-2021,14973,1376,3941,9519,26.32%,27997,8281,29.58%,1802,6.44%,21.76%,377,1.35%
04-12-2021,19901,1628,3039,8532,15.27%,33329,7666,23.00%,2505,7.52%,32.68%,542,1.63%
05-12-2021,14192,1481,4429,9441,31.21%,28016,8823,31.49%,2221,7.93%,25.17%,823,2.94%
06-12-2021,16032,1630,3138,12089,19.57%,30606,7339,23.98%,2259,7.38%,30.78%,586,1.91%
07-12-2021,16665,1396,5939,10222,35.64%,26345,9133,34.67%,2976,11.30%,32.59%,458,1.74%
08-12-2021,13696,1574,5820,9154,42.49%,27084,6374,23.53%,2139,7.90%,33.56%,554,2.05%
09-12-2021,15587,1601,2612,9970,16.76%,30121,7347,24.39%,1659,5.51%,22.58%,549,1.82%
10-12-2021,15976,1492,2864,9542,17.93%,29911,7886,26.36%,2385,7.97%,30.24%,453,1.51%
11-12-2021,16053,1597,2942,13164,18.33%,31493,8232,26.14%,2739,8.70%,33.27%,557,1.77%
12-12-2021,11752,1322,4540,8045,38.63%,25063,5484,21.88%,1552,6.19%,28.30%,476,1.90%
13-12-2021,12796,1513,3711,8156,29.00%,26224,4462,17.01%,1516,5.78%,33.98%,671,2.56%
14-12-2021,16602,1612,2440,10306,14.70%,30672,9467,30.87%,2848,9.29%,30.08%,595,1.94%
15-12-2021,13655,1492,6359,11442,46.57%,28252,8874,31.41%,3191,11.29%,35.96%,730,2.58%
16-12-2021,18724,1730,6305,11154,33.67%,34319,11345,33.06%,2903,8.46%,25.59%,620,1.81%
17-12-2021,18208,1703,4573,10813,25.12%,37544,10308,27.46%,2934,7.81%,28.46%,772,2.06%
18-12-2021,15839,1586,3612,11520,22.80%,29238,11095,37.95%,2976,10.18%,26.82%,784,2.68%
19-12-2021,20939,1643,4349,10290,20.77%,32057,9182,28.64%,2374,7.41%,25.85%,588,1.83%
20-12-2021,18982,1711,3027,10297,15.95%,35508,9399,26.47%,3202,9.02%,34.07%,783,2.21%
21-12-2021,17206,1541,7560,10863,43.94%,34707,10183,29.34%,3434,9.89%,33.72%,663,1.91%
