date,monthly_sales,lag_1,lag_2,lag_7,lag_14,lag_30,roll_7,roll_30,volatility
2016-04-26,1028219840640.0,1028359022400.0,1028498204160.0,1029194112960.0,1030168385280.0,1032349954064.5161,1028637385920.0,1030235709191.2258,300666965.50256836
2016-04-27,1028080658880.0,1028219840640.0,1028359022400.0,1029054931200.0,1030029203520.0,1032222107148.3871,1028498204160.0,1030097660915.6129,300666965.50250715
2016-04-28,1027941477120.0,1028080658880.0,1028219840640.0,1028915749440.0,1029890021760.0,1032094260232.258,1028359022400.0,1029959234811.871,300666965.5024459
2016-04-29,1027802295360.0,1027941477120.0,1028080658880.0,1028776567680.0,1029750840000.0,1031966413316.129,1028219840640.0,1029820430880.0,300666965.50238466
2016-04-30,1027663113600.0,1027802295360.0,1027941477120.0,1028637385920.0,1029611658240.0,1031838566400.0,1028080658880.0,1029681249120.0,300666965.50232345
2016-05-01,1027535684748.3871,1027663113600.0,1027802295360.0,1028498204160.0,1029472476480.0,1031699384640.0,1027943156106.9124,1029542459123.6129,297967391.92279667
2016-05-02,1027408255896.7742,1027535684748.3871,1027663113600.0,1028359022400.0,1029333294720.0,1031560202880.0,1027807332320.7373,1029404060890.8386,293468952.0030211
2016-05-03,1027280827045.1613,1027408255896.7742,1027535684748.3871,1028219840640.0,1029194112960.0,1031421021120.0,1027673187521.4746,1029266054421.6775,288046598.1695721
2016-05-04,1027153398193.5483,1027280827045.1613,1027408255896.7742,1028080658880.0,1029054931200.0,1031281839360.0,1027540721709.1244,1029128439716.129,282590030.9690924
2016-05-05,1027025969341.9354,1027153398193.5483,1027280827045.1613,1027941477120.0,1028915749440.0,1031142657600.0,1027409934883.6866,1028991216774.1935,278020232.4300045
2016-05-06,1026898540490.3226,1027025969341.9354,1027153398193.5483,1027802295360.0,1028776567680.0,1031003475840.0,1027280827045.1613,1028854385595.871,275277781.59923005
2016-05-07,1026771111638.7097,1026898540490.3226,1027025969341.9354,1027663113600.0,1028637385920.0,1030864294080.0,1027153398193.5485,1028717946181.1614,275277781.5992748
2016-05-08,1026643682787.0968,1026771111638.7097,1026898540490.3226,1027535684748.3871,1028498204160.0,1030725112320.0,1027025969341.9355,1028581898530.0645,275277781.5993196
2016-05-09,1026516253935.4839,1026643682787.0968,1026771111638.7097,1027408255896.7742,1028359022400.0,1030585930560.0,1026898540490.3225,1028446242642.5806,275277781.5993643
2016-05-10,1026388825083.871,1026516253935.4839,1026643682787.0968,1027280827045.1613,1028219840640.0,1030446748800.0,1026771111638.7097,1028310978518.7096,275277781.599409
2016-05-11,1026261396232.258,1026388825083.871,1026516253935.4839,1027153398193.5483,1028080658880.0,1030307567040.0,1026643682787.0968,1028176106158.4515,275277781.59945375
2016-05-12,1026133967380.6451,1026261396232.258,1026388825083.871,1027025969341.9354,1027941477120.0,1030168385280.0,1026516253935.4838,1028041625561.8065,275277781.59949845
2016-05-13,1026006538529.0322,1026133967380.6451,1026261396232.258,1026898540490.3226,1027802295360.0,1030029203520.0,1026388825083.871,1027907536728.7742,275277781.5995126
2016-05-14,1025879109677.4193,1026006538529.0322,1026133967380.6451,1026771111638.7097,1027663113600.0,1029890021760.0,1026261396232.258,1027773839659.3549,275277781.59949845
2016-05-15,1025751680825.8064,1025879109677.4193,1026006538529.0322,1026643682787.0968,1027535684748.3871,1029750840000.0,1026133967380.6451,1027640534353.5485,275277781.5995126
2016-05-16,1025624251974.1936,1025751680825.8064,1025879109677.4193,1026516253935.4839,1027408255896.7742,1029611658240.0,1026006538529.0323,1027507620811.3549,275277781.5994679
2016-05-17,1025496823122.5807,1025624251974.1936,1025751680825.8064,1026388825083.871,1027280827045.1613,1029472476480.0,1025879109677.4193,1027375099032.7742,275277781.5994679
2016-05-18,1025369394270.9678,1025496823122.5807,1025624251974.1936,1026261396232.258,1027153398193.5483,1029333294720.0,1025751680825.8065,1027242969017.8065,275277781.5995126
2016-05-19,1025241965419.3549,1025369394270.9678,1025496823122.5807,1026133967380.6451,1027025969341.9354,1029194112960.0,1025624251974.1936,1027111230766.4515,275277781.59955734
2016-05-20,1025114536567.742,1025241965419.3549,1025369394270.9678,1026006538529.0322,1026898540490.3226,1029054931200.0,1025496823122.5807,1026979884278.7096,275277781.5996021
2016-05-21,1024987107716.129,1025114536567.742,1025241965419.3549,1025879109677.4193,1026771111638.7097,1028915749440.0,1025369394270.9677,1026848929554.5806,275277781.5996468
2016-05-22,1024859678864.5161,1024987107716.129,1025114536567.742,1025751680825.8064,1026643682787.0968,1028776567680.0,1025241965419.3549,1026718366594.0645,275277781.5996915
2016-05-23,1024732250012.9032,1024859678864.5161,1024987107716.129,1025624251974.1936,1026516253935.4839,1028637385920.0,1025114536567.7421,1026588195397.1614,275277781.5996774
2016-05-24,1024604821161.2903,1024732250012.9032,1024859678864.5161,1025496823122.5807,1026388825083.871,1028498204160.0,1024987107716.129,1026458415963.871,275277781.5996915
2016-05-25,1024477392309.6774,1024604821161.2903,1024732250012.9032,1025369394270.9678,1026261396232.258,1028359022400.0,1024859678864.5162,1026329028294.1935,275277781.5996774
2016-05-26,1024349963458.0646,1024477392309.6774,1024604821161.2903,1025241965419.3549,1026133967380.6451,1028219840640.0,1024732250012.9032,1026200032388.129,275277781.5996774
2016-05-27,1024222534606.4517,1024349963458.0646,1024477392309.6774,1025114536567.742,1026006538529.0322,1028080658880.0,1024604821161.2903,1026071428245.6775,275277781.59972215
2016-05-28,1024095105754.8387,1024222534606.4517,1024349963458.0646,1024987107716.129,1025879109677.4193,1027941477120.0,1024477392309.6775,1025943215866.8386,275277781.5997669
2016-05-29,1023967676903.2258,1024095105754.8387,1024222534606.4517,1024859678864.5161,1025751680825.8064,1027802295360.0,1024349963458.0645,1025815395251.6129,275277781.5998116
2016-05-30,1023840248051.6129,1023967676903.2258,1024095105754.8387,1024732250012.9032,1025624251974.1936,1027663113600.0,1024222534606.4515,1025687966400.0,275277781.5998564
2016-05-31,1023712819200.0,1023840248051.6129,1023967676903.2258,1024604821161.2903,1025496823122.5807,1027535684748.3871,1024095105754.8387,1025560537548.3871,275277781.5999011
2016-06-01,1023579342720.0,1023712819200.0,1023840248051.6129,1024477392309.6774,1025369394270.9678,1027408255896.7742,1023966812956.3134,1025432907109.1614,276683436.8241341
2016-06-02,1023445866240.0,1023579342720.0,1023712819200.0,1024349963458.0646,1025241965419.3549,1027280827045.1613,1023837656210.8756,1025305075082.3225,279026063.6804431
2016-06-03,1023312389760.0,1023445866240.0,1023579342720.0,1024222534606.4517,1025114536567.742,1027153398193.5483,1023707635518.5254,1025177041467.871,281830051.40150076
2016-06-04,1023178913280.0,1023312389760.0,1023445866240.0,1024095105754.8387,1024987107716.129,1027025969341.9354,1023576750879.2627,1025048806265.8065,284624772.62651587
2016-06-05,1023045436800.0,1023178913280.0,1023312389760.0,1023967676903.2258,1024859678864.5161,1026898540490.3226,1023445002293.0876,1024920369476.129,286948088.23594743
2016-06-06,1022911960320.0,1023045436800.0,1023178913280.0,1023840248051.6129,1024732250012.9032,1026771111638.7097,1023312389760.0,1024791731098.8386,288342152.0727001
2016-06-07,1022778483840.0,1022911960320.0,1023045436800.0,1023712819200.0,1024604821161.2903,1026643682787.0968,1023178913280.0,1024662891133.9355,288342152.0728226
2016-06-08,1022645007360.0,1022778483840.0,1022911960320.0,1023579342720.0,1024477392309.6774,1026516253935.4839,1023045436800.0,1024533849581.4194,288342152.072945
2016-06-09,1022511530880.0,1022645007360.0,1022778483840.0,1023445866240.0,1024349963458.0646,1026388825083.871,1022911960320.0,1024404606441.2904,288342152.0730674
2016-06-10,1022378054400.0,1022511530880.0,1022645007360.0,1023312389760.0,1024222534606.4517,1026261396232.258,1022778483840.0,1024275161713.5485,288342152.0731899
2016-06-11,1022244577920.0,1022378054400.0,1022511530880.0,1023178913280.0,1024095105754.8387,1026133967380.6451,1022645007360.0,1024145515398.1935,288342152.07331234
2016-06-12,1022111101440.0,1022244577920.0,1022378054400.0,1023045436800.0,1023967676903.2258,1026006538529.0322,1022511530880.0,1024015667495.2258,288342152.07343477
2016-06-13,1021977624960.0,1022111101440.0,1022244577920.0,1022911960320.0,1023840248051.6129,1025879109677.4193,1022378054400.0,1023885618004.6451,288342152.07355726
2016-06-14,1021844148480.0,1021977624960.0,1022111101440.0,1022778483840.0,1023712819200.0,1025751680825.8064,1022244577920.0,1023755366926.4515,288342152.0736797
2016-06-15,1021710672000.0,1021844148480.0,1021977624960.0,1022645007360.0,1023579342720.0,1025624251974.1936,1022111101440.0,1023624914260.6451,288342152.0738021
2016-06-16,1021577195520.0,1021710672000.0,1021844148480.0,1022511530880.0,1023445866240.0,1025496823122.5807,1021977624960.0,1023494260007.2258,288342152.0739246
2016-06-17,1021443719040.0,1021577195520.0,1021710672000.0,1022378054400.0,1023312389760.0,1025369394270.9678,1021844148480.0,1023363404166.1935,288342152.074047
2016-06-18,1021310242560.0,1021443719040.0,1021577195520.0,1022244577920.0,1023178913280.0,1025241965419.3549,1021710672000.0,1023232346737.5485,288342152.07416946
2016-06-19,1021176766080.0,1021310242560.0,1021443719040.0,1022111101440.0,1023045436800.0,1025114536567.742,1021577195520.0,1023101087721.2904,288342152.07429194
2016-06-20,1021043289600.0,1021176766080.0,1021310242560.0,1021977624960.0,1022911960320.0,1024987107716.129,1021443719040.0,1022969627117.4194,288342152.0744144
2016-06-21,1020909813120.0,1021043289600.0,1021176766080.0,1021844148480.0,1022778483840.0,1024859678864.5161,1021310242560.0,1022837964925.9355,288342152.0745368
2016-06-22,1020776336640.0,1020909813120.0,1021043289600.0,1021710672000.0,1022645007360.0,1024732250012.9032,1021176766080.0,1022706101146.8386,288342152.0746593
2016-06-23,1020642860160.0,1020776336640.0,1020909813120.0,1021577195520.0,1022511530880.0,1024604821161.2903,1021043289600.0,1022574035780.129,288342152.0747817
2016-06-24,1020509383680.0,1020642860160.0,1020776336640.0,1021443719040.0,1022378054400.0,1024477392309.6774,1020909813120.0,1022441768825.8065,288342152.07490414
2016-06-25,1020375907200.0,1020509383680.0,1020642860160.0,1021310242560.0,1022244577920.0,1024349963458.0646,1020776336640.0,1022309300283.871,288342152.07502663
2016-06-26,1020242430720.0,1020375907200.0,1020509383680.0,1021176766080.0,1022111101440.0,1024222534606.4517,1020642860160.0,1022176630154.3225,288342152.07514906
2016-06-27,1020108954240.0,1020242430720.0,1020375907200.0,1021043289600.0,1021977624960.0,1024095105754.8387,1020509383680.0,1022043758437.1614,288342152.0752715
2016-06-28,1019975477760.0,1020108954240.0,1020242430720.0,1020909813120.0,1021844148480.0,1023967676903.2258,1020375907200.0,1021910685132.3871,288342152.075394
2016-06-29,1019842001280.0,1019975477760.0,1020108954240.0,1020776336640.0,1021710672000.0,1023840248051.6129,1020242430720.0,1021777410240.0,288342152.0755164
2016-06-30,1019708524800.0,1019842001280.0,1019975477760.0,1020642860160.0,1021577195520.0,1023712819200.0,1020108954240.0,1021643933760.0,288342152.07563883
2016-07-01,1019579047432.258,1019708524800.0,1019842001280.0,1020509383680.0,1021443719040.0,1023579342720.0,1019976049061.7511,1021510590583.742,287419021.52812177
2016-07-02,1019449570064.5161,1019579047432.258,1019708524800.0,1020375907200.0,1021310242560.0,1023445866240.0,1019843715185.2535,1021377380711.2258,285880506.31366026
2016-07-03,1019320092696.7742,1019449570064.5161,1019579047432.258,1020242430720.0,1021176766080.0,1023312389760.0,1019711952610.507,1021244304142.4515,284031331.43118626
2016-07-04,1019190615329.0322,1019320092696.7742,1019449570064.5161,1020108954240.0,1021043289600.0,1023178913280.0,1019580761337.5115,1021111360877.4194,282178135.18885875
